Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Nombre Habitant,Evolution_pop %,Balance commerciale
Maurice,128.0,37.93,8.05,13.06,49.0,0.0,2.0,48.0,48.0,1264499,0.4,-2.0
Mauritanie,11.0,5.14,0.51,1.59,22.0,0.0,24.0,22.0,5.0,4282570,5.84,-24.0
Mexique,123.0,32.52,9.27,9.26,4219.0,9.0,972.0,4058.0,3249.0,124777324,2.4,-963.0
Mongolie,9.0,2.77,0.59,0.95,9.0,0.0,10.0,9.0,0.0,3113786,3.85,-10.0
Monténégro,55.0,15.98,3.37,5.79,10.0,0.0,8.0,10.0,4.0,627563,0.1,-8.0
Mozambique,13.0,3.59,0.82,1.2,116.0,0.0,24.0,103.0,92.0,28649018,5.94,-24.0
Myanmar,116.0,30.37,8.11,9.93,1666.0,0.0,3.0,1621.0,1662.0,53382523,1.33,-3.0
Namibie,40.0,11.53,2.38,4.25,28.0,12.0,29.0,28.0,11.0,2402633,3.79,-17.0
Nicaragua,93.0,21.59,7.08,6.91,138.0,0.0,6.0,138.0,143.0,6384846,2.6,-6.0
Niger,3.0,0.94,0.2,0.32,21.0,0.0,3.0,20.0,19.0,21602382,8.0,-3.0
Nigéria,2.0,1.01,0.1,0.31,202.0,0.0,0.0,192.0,201.0,190873244,5.37,0.0
Norvège,66.0,19.05,3.61,7.81,102.0,0.0,2.0,101.0,101.0,5296326,1.86,-2.0
Nouvelle-Calédonie,136.0,38.71,8.42,14.05,11.0,0.0,9.0,11.0,1.0,277150,2.24,-9.0
Nouvelle-Zélande,140.0,34.79,9.77,12.02,168.0,23.0,1.0,164.0,223.0,4702034,1.9,22.0
Népal,7.0,1.99,0.42,0.67,58.0,0.0,0.0,55.0,58.0,27632681,2.29,0.0
Oman,73.0,21.63,4.58,7.38,114.0,16.0,126.0,101.0,7.0,4665928,9.34,-110.0
Ouganda,5.0,1.52,0.32,0.51,66.0,0.0,0.0,62.0,65.0,41166588,7.69,0.0
Pakistan,20.0,5.86,1.25,1.97,1282.0,4.0,2.0,1218.0,1281.0,207906209,4.25,2.0
Panama,117.0,33.82,8.02,10.34,192.0,0.0,20.0,139.0,198.0,4106769,3.48,-20.0
Paraguay,22.0,5.99,1.61,1.8,41.0,4.0,1.0,41.0,45.0,6867061,2.67,3.0
Pays-Bas,70.0,20.33,3.74,8.48,372.0,1418.0,608.0,346.0,1100.0,17021347,0.49,810.0
Philippines,48.0,13.87,3.11,4.65,1521.0,2.0,249.0,1459.0,1272.0,105172925,3.0,-247.0
Pologne,107.0,30.3,6.18,12.14,1156.0,1025.0,55.0,1150.0,2351.0,37953180,-0.21,970.0
Polynésie française,167.0,47.4,10.86,16.2,15.0,0.0,15.0,13.0,1.0,276102,1.09,-15.0
Portugal,109.0,30.58,6.02,12.74,325.0,44.0,82.0,315.0,361.0,10288527,-0.77,-38.0
Pérou,62.0,13.47,3.72,6.71,1523.0,1.0,60.0,424.0,1465.0,31444298,3.2,-59.0
Roumanie,66.0,19.37,3.65,7.91,381.0,69.0,146.0,381.0,392.0,19653969,-1.36,-77.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,120.0,31.94,6.74,13.77,2234.0,359.0,779.0,2131.0,1814.0,66727460,1.32,-420.0
Rwanda,5.0,1.49,0.31,0.5,19.0,0.0,0.0,18.0,19.0,11980961,5.38,0.0
République centrafricaine,8.0,2.29,0.48,0.78,11.0,0.0,4.0,11.0,7.0,4596023,2.29,-4.0
République de Corée,62.0,16.7,4.21,5.68,854.0,6.0,137.0,854.0,838.0,51096415,0.54,-131.0
République de Moldova,55.0,16.14,3.46,5.53,66.0,0.0,16.0,66.0,54.0,4059684,-0.27,-16.0
République dominicaine,123.0,35.26,8.46,10.88,375.0,6.0,42.0,371.0,339.0,10513104,2.25,-36.0
République populaire démocratique de Corée,8.0,1.62,0.63,0.49,43.0,0.0,0.0,41.0,43.0,25429825,0.98,0.0
République-Unie de Tanzanie,6.0,1.88,0.41,0.63,108.0,0.0,2.0,103.0,105.0,54660339,6.17,-2.0
Saint-Kitts-et-Nevis,190.0,55.77,11.91,19.22,4.0,0.0,4.0,3.0,0.0,52045,1.64,-4.0
Saint-Vincent-et-les Grenadines,243.0,72.31,15.06,25.1,8.0,0.0,9.0,8.0,0.0,109827,0.62,-9.0
Sainte-Lucie,241.0,56.69,17.86,19.0,11.0,0.0,10.0,10.0,1.0,180954,1.02,-10.0
Samoa,217.0,64.77,13.68,21.88,15.0,0.0,17.0,13.0,0.0,195352,0.95,-17.0
Sao Tomé-et-Principe,33.0,9.47,2.1,3.21,2.0,0.0,2.0,2.0,1.0,207089,3.84,-2.0
Serbie,35.0,10.16,2.24,3.5,90.0,7.0,12.0,90.0,85.0,8829628,-0.53,-5.0
Sierra Leone,10.0,3.97,0.52,1.24,30.0,0.0,14.0,30.0,17.0,7488423,4.41,-14.0
Slovaquie,48.0,13.9,3.04,4.74,74.0,35.0,63.0,76.0,71.0,5447900,0.23,-28.0
Slovénie,83.0,24.41,5.05,8.72,52.0,29.0,20.0,51.0,72.0,2076393,0.25,9.0
Soudan,5.0,1.6,0.34,0.54,69.0,0.0,2.0,65.0,67.0,40813397,4.91,-2.0
Sri Lanka,26.0,7.78,1.64,2.64,192.0,2.0,0.0,164.0,192.0,21128032,1.05,2.0
